date,hour,actual,projected
01/01/2023,1,-10.405,-10.296
01/01/2023,2,-10.111,-10.331
01/01/2023,3,-10.673,-10.284
01/01/2023,4,-10.614,-10.621
01/01/2023,5,-10.351,-10.245
01/01/2023,6,-11,-9.098
01/01/2023,7,-10.703,-8.74
01/01/2023,8,-10.242,0.595
01/01/2023,9,16.027,160.881
01/01/2023,10,111.676,708.214
01/01/2023,11,248.401,1199.143
01/01/2023,12,346.826,1510.421
01/01/2023,13,332.034,1508.805
01/01/2023,14,321.545,1291.358
01/01/2023,15,208.086,839.494
01/01/2023,16,127.025,261.602
01/01/2023,17,-0.557,5.698
01/01/2023,18,-10.156,-8.708
01/01/2023,19,-9.959,-8.767
01/01/2023,20,-10.074,-8.903
01/01/2023,21,-10.16,-10.387
01/01/2023,22,-10.215,-10.338
01/01/2023,23,-10.283,-10.478
01/01/2023,24,-10.366,-10.218
02/01/2023,1,-10.269,-10.481
02/01/2023,2,-10.422,-10.561
02/01/2023,3,-10.419,-10.47
02/01/2023,4,-10.303,-10.734
02/01/2023,5,-10.871,-10.575
02/01/2023,6,-10.136,-9.187
02/01/2023,7,-10.05,-9.039
02/01/2023,8,-0.391,5.985
02/01/2023,9,225.242,260.187
02/01/2023,10,805.576,945.019
02/01/2023,11,1041.27,1547.02
02/01/2023,12,990.789,1963.056
02/01/2023,13,927.508,1961.751
02/01/2023,14,743.797,1624.103
02/01/2023,15,569.36,1023.145
02/01/2023,16,292.293,317.57
02/01/2023,17,6.168,6.17
02/01/2023,18,-10.153,-8.623
02/01/2023,19,-10.191,-8.708
02/01/2023,20,-10.214,-8.964
02/01/2023,21,-10.322,-10.229
02/01/2023,22,-10.492,-10.316
02/01/2023,23,-10.532,-10.223
02/01/2023,24,-10.295,-10.201
03/01/2023,1,-10.518,-10.331
03/01/2023,2,-10.598,-10.382
03/01/2023,3,-10.633,-10.38
03/01/2023,4,-10.934,-10.646
03/01/2023,5,-10.492,-10.378
03/01/2023,6,-10.802,-9.172
03/01/2023,7,-10.456,-8.938
03/01/2023,8,0.699,7.9
03/01/2023,9,224.24,270.178
03/01/2023,10,744.167,945.286
03/01/2023,11,1362.684,1491.259
03/01/2023,12,1666.892,1842.673
03/01/2023,13,1634.684,1789.577
03/01/2023,14,1272.49,1409.344
03/01/2023,15,725.187,851.351
03/01/2023,16,238.223,249.702
03/01/2023,17,0.119,2.167
03/01/2023,18,-10.517,-8.738
03/01/2023,19,-10.132,-8.842
03/01/2023,20,-10.571,-8.899
03/01/2023,21,-9.681,-10.364
03/01/2023,22,-10.277,-10.404
03/01/2023,23,-10.065,-10.307
03/01/2023,24,-10.066,-10.204
04/01/2023,1,-10.054,-10.364
04/01/2023,2,-10.626,-10.341
04/01/2023,3,-10.361,-10.435
04/01/2023,4,-10.622,-10.413
04/01/2023,5,-10.378,-10.48
04/01/2023,6,-10.351,-9.031
04/01/2023,7,-10.474,-8.836
04/01/2023,8,-4.55,0.668
04/01/2023,9,147.49,143.634
04/01/2023,10,628.216,619.459
04/01/2023,11,1307.68,1023.784
04/01/2023,12,1948.493,1322.495
04/01/2023,13,1949.314,1434.013
04/01/2023,14,1496.716,1328.362
04/01/2023,15,874.278,917.695
04/01/2023,16,309.78,346.65
04/01/2023,17,12.376,14.893
04/01/2023,18,-10.738,-8.709
04/01/2023,19,-9.94,-8.684
04/01/2023,20,-10.351,-8.769
04/01/2023,21,-10.703,-10.234
04/01/2023,22,-10.192,-10.209
04/01/2023,23,-10.754,-10.272
04/01/2023,24,-10.465,-10.254
05/01/2023,1,-10.576,-10.366
05/01/2023,2,-11.029,-10.407
05/01/2023,3,-10.991,-10.405
05/01/2023,4,-10.7,-10.543
05/01/2023,5,-10.635,-10.299
05/01/2023,6,-10.909,-9.268
05/01/2023,7,-10.837,-9.088
05/01/2023,8,-8.279,-2.563
05/01/2023,9,40.798,68.112
05/01/2023,10,142.239,188.05
05/01/2023,11,216.711,303.473
05/01/2023,12,294.403,349.144
05/01/2023,13,315.583,361.639
05/01/2023,14,284.792,313.154
05/01/2023,15,162.276,203.248
05/01/2023,16,61.25,73.888
05/01/2023,17,-3.286,-0.191
05/01/2023,18,-9.789,-8.838
05/01/2023,19,-10.272,-8.904
05/01/2023,20,-10.337,-9.165
05/01/2023,21,-10.366,-10.146
05/01/2023,22,-10.272,-10.304
05/01/2023,23,-10.286,-10.326
05/01/2023,24,-10.683,-10.254
06/01/2023,1,-9.938,-10.272
06/01/2023,2,-10.465,-10.452
06/01/2023,3,-10.157,-10.298
06/01/2023,4,-10.589,-10.606
06/01/2023,5,-10.404,-10.315
06/01/2023,6,-10.252,-9.164
06/01/2023,7,-10.206,-9.169
06/01/2023,8,-5.359,-2.938
06/01/2023,9,86.465,75.083
06/01/2023,10,201.447,292.838
06/01/2023,11,313.901,488.3
06/01/2023,12,373.267,585.32
06/01/2023,13,399.131,551.789
06/01/2023,14,319.963,458.807
06/01/2023,15,184.473,292.059
06/01/2023,16,63.271,97.709
06/01/2023,17,-3.566,1.596
06/01/2023,18,-10.174,-8.885
06/01/2023,19,-9.839,-8.958
06/01/2023,20,-10.678,-9.193
