date,hour,actual,projected
2022-01-01,1,458.688,460.411
2022-01-01,2,534.446,498.085
2022-01-01,3,624.227,539.868
2022-01-01,4,651.049,578.841
2022-01-01,5,516.064,608.715
2022-01-01,6,473.13,636.19
2022-01-01,7,354.969,655.596
2022-01-01,8,219.654,662.207
2022-01-01,9,60.817,667.952
2022-01-01,10,89.383,664.127
2022-01-01,11,278.637,646.386
2022-01-01,12,438.314,643.175
2022-01-01,13,631.933,635.381
2022-01-01,14,630.89,633.61
2022-01-01,15,606.506,593.092
2022-01-01,16,588.814,589.581
2022-01-01,17,593.534,576.612
2022-01-01,18,615.895,565.643
2022-01-01,19,615.052,560.978
2022-01-01,20,592.427,544.211
2022-01-01,21,547.437,557.463
2022-01-01,22,540.459,578.292
2022-01-01,23,591.765,593.83
2022-01-01,24,627.167,609.602
2022-01-02,1,443.905,656.613
2022-01-02,2,132.61,664.146
2022-01-02,3,47.849,670.562
2022-01-02,4,29.865,676.753
2022-01-02,5,30.822,681.328
2022-01-02,6,30.034,681.264
2022-01-02,7,29.354,677.859
2022-01-02,8,28.747,673.308
2022-01-02,9,188.835,658.384
2022-01-02,10,426.757,655.759
2022-01-02,11,462.416,652.071
2022-01-02,12,421.142,642.113
2022-01-02,13,410.525,610.263
2022-01-02,14,367.876,578.079
2022-01-02,15,472.191,510.016
2022-01-02,16,431.734,421.236
2022-01-02,17,326.022,336.719
2022-01-02,18,224.406,270.968
2022-01-02,19,138.827,207.123
2022-01-02,20,89.918,128.846
2022-01-02,21,62.306,99.034
2022-01-02,22,76.731,95.585
2022-01-02,23,115.313,125.44
2022-01-02,24,165.189,164.273
2022-01-03,1,248.062,225.473
2022-01-03,2,312.384,307.431
2022-01-03,3,424.286,389.009
2022-01-03,4,499.42,450.125
2022-01-03,5,556.139,500.094
2022-01-03,6,626.744,564.283
2022-01-03,7,665.939,630.1
2022-01-03,8,663.528,668.707
2022-01-03,9,653.86,672.177
2022-01-03,10,644.475,657.262
2022-01-03,11,616.058,631.133
2022-01-03,12,583.533,603.683
2022-01-03,13,587.73,597.414
2022-01-03,14,631.341,603.453
2022-01-03,15,640.051,610.179
2022-01-03,16,656.377,610.968
2022-01-03,17,678.335,620.514
2022-01-03,18,686.268,629.439
2022-01-03,19,704.373,652.957
2022-01-03,20,696.528,675.713
2022-01-03,21,707.135,684.028
2022-01-03,22,705.251,689.932
2022-01-03,23,703.886,689.373
2022-01-03,24,709.838,700.69
2022-01-04,1,717.89,700.207
2022-01-04,2,671.624,694.783
2022-01-04,3,420.12,698.785
2022-01-04,4,298.251,701.419
2022-01-04,5,356.304,693.296
2022-01-04,6,550.861,670.585
2022-01-04,7,659.074,655.387
2022-01-04,8,666.726,614.698
2022-01-04,9,631.73,570.49
2022-01-04,10,523.95,512.97
2022-01-04,11,375.575,455.059
2022-01-04,12,343.016,385.795
2022-01-04,13,300.543,348.661
2022-01-04,14,269.482,308.407
2022-01-04,15,265.211,296.74
2022-01-04,16,314.025,281.937
2022-01-04,17,399.864,306.7
2022-01-04,18,506.871,320.554
2022-01-04,19,562.529,326.694
2022-01-04,20,477.994,350.745
2022-01-04,21,523.526,414.316
2022-01-04,22,616.618,480.546
2022-01-04,23,612.706,519.647
2022-01-04,24,665.583,573.175
2022-01-05,1,676.601,649.168
2022-01-05,2,719.527,675.334
2022-01-05,3,721.521,702.059
2022-01-05,4,717.375,703.839
2022-01-05,5,686.49,716.376
2022-01-05,6,632.956,713.798
2022-01-05,7,713.017,700.667
2022-01-05,8,684.272,678.034
2022-01-05,9,658.965,658.646
2022-01-05,10,615.566,648.156
2022-01-05,11,572.588,616.345
2022-01-05,12,558.165,563.333
2022-01-05,13,516.154,541.698
2022-01-05,14,470.509,521.93
2022-01-05,15,476.52,522.887
2022-01-05,16,544.22,539.717
2022-01-05,17,548.786,563.582
2022-01-05,18,540.949,588.332
2022-01-05,19,564.974,587.86
2022-01-05,20,619.976,607.275
2022-01-05,21,664.636,622.298
2022-01-05,22,655.625,627.233
2022-01-05,23,685.934,631.475
2022-01-05,24,687.727,640.081
2022-01-06,1,691.143,630.961
2022-01-06,2,682.176,615.081
2022-01-06,3,566.547,596.027
2022-01-06,4,397.456,583.904
2022-01-06,5,312.982,573.751
2022-01-06,6,572.805,559.864
2022-01-06,7,584.036,538.71
2022-01-06,8,586.758,538.842
2022-01-06,9,576.193,527.115
2022-01-06,10,520.725,492.734
2022-01-06,11,474.326,469.816
2022-01-06,12,434.284,456.185
2022-01-06,13,432.602,439.355
2022-01-06,14,425.324,431.531
2022-01-06,15,405.815,408.208
2022-01-06,16,433.883,406.331
2022-01-06,17,469.663,414.626
2022-01-06,18,488.666,441.92
