"","date","hour","actual","projected"
"1",2022-01-01,1,-14.171,-11.47
"2",2022-01-01,2,-12.752,-11.286
"3",2022-01-01,3,-11.844,-11.373
"4",2022-01-01,4,-13.677,-11.211
"5",2022-01-01,5,-11.908,-11.338
"6",2022-01-01,6,-11.177,-11.489
"7",2022-01-01,7,-13.192,-11.518
"8",2022-01-01,8,-11.638,-8.048
"9",2022-01-01,9,3.673,20.241
"10",2022-01-01,10,42.685,105.632
"11",2022-01-01,11,108.19,212.259
"12",2022-01-01,12,193.941,272.813
"13",2022-01-01,13,337.992,305.985
"14",2022-01-01,14,342.006,323.271
"15",2022-01-01,15,235.639,212.029
"16",2022-01-01,16,71.108,70.059
"17",2022-01-01,17,-8.42,-3.762
"18",2022-01-01,18,-12.654,-11.599
"19",2022-01-01,19,-11.792,-11.575
"20",2022-01-01,20,-12.518,-11.866
"21",2022-01-01,21,-11.382,-11.673
"22",2022-01-01,22,-13.393,-11.648
"23",2022-01-01,23,-11.991,-11.697
"24",2022-01-01,24,-11.978,-11.571
"25",2022-01-02,1,-12.935,-11.797
"26",2022-01-02,2,-12.954,-11.871
"27",2022-01-02,3,-13.237,-11.841
"28",2022-01-02,4,-13.209,-11.685
"29",2022-01-02,5,-14.537,-12.126
"30",2022-01-02,6,-13.266,-11.79
"31",2022-01-02,7,-12.659,-11.809
"32",2022-01-02,8,-10.205,-5.482
"33",2022-01-02,9,120.859,144.936
"34",2022-01-02,10,621.545,551.677
"35",2022-01-02,11,1196.092,995.01
"36",2022-01-02,12,1461.523,1307.056
"37",2022-01-02,13,1387.165,1402.458
"38",2022-01-02,14,1273.62,1204.475
"39",2022-01-02,15,995.318,752.731
"40",2022-01-02,16,328.932,246.418
"41",2022-01-02,17,4.125,1.33
"42",2022-01-02,18,-12.919,-11.583
"43",2022-01-02,19,-13.357,-11.714
"44",2022-01-02,20,-13.681,-11.719
"45",2022-01-02,21,-14.344,-11.696
"46",2022-01-02,22,-11.577,-11.72
"47",2022-01-02,23,-13.003,-11.641
"48",2022-01-02,24,-12.889,-11.49
"49",2022-01-03,1,-14.218,-12.105
"50",2022-01-03,2,-14.145,-11.949
"51",2022-01-03,3,-11.111,-11.898
"52",2022-01-03,4,-13.654,-11.812
"53",2022-01-03,5,-13.065,-11.987
"54",2022-01-03,6,-12.382,-11.651
"55",2022-01-03,7,-14.884,-11.617
"56",2022-01-03,8,-12.199,-6.862
"57",2022-01-03,9,45.229,70.702
