"","date","hour","actual","projected"
"1",2024-01-01,1,21.557,36.915
"2",2024-01-01,2,24.817,38.98
"3",2024-01-01,3,17.363,41.162
"4",2024-01-01,4,19.87,45.063
"5",2024-01-01,5,18.152,50.093
"6",2024-01-01,6,18.063,58.584
"7",2024-01-01,7,16.275,62.49
"8",2024-01-01,8,29.831,69.965
"9",2024-01-01,9,50.643,74.049
"10",2024-01-01,10,50.996,74.733
"11",2024-01-01,11,47.511,79.826
"12",2024-01-01,12,43.726,77.326
"13",2024-01-01,13,51.745,77.376
"14",2024-01-01,14,55.446,84.876
"15",2024-01-01,15,55.685,83.926
"16",2024-01-01,16,55.739,83.426
"17",2024-01-01,17,52.132,83.821
"18",2024-01-01,18,41.522,86.026
"19",2024-01-01,19,36.969,86.181
"20",2024-01-01,20,44.909,83.398
"21",2024-01-01,21,46.506,85.443
"22",2024-01-01,22,50.262,79.907
"23",2024-01-01,23,53.028,82.374
"24",2024-01-01,24,56.998,79.201
"25",2024-01-02,1,54.562,75.241
"26",2024-01-02,2,54.199,66.708
"27",2024-01-02,3,57.139,66.844
"28",2024-01-02,4,52.719,74.177
"29",2024-01-02,5,48.477,69.266
"30",2024-01-02,6,38.114,50.038
"31",2024-01-02,7,24.658,48.415
"32",2024-01-02,8,21.339,54.459
"33",2024-01-02,9,15.908,54.931
"34",2024-01-02,10,28.353,53.543
"35",2024-01-02,11,30.542,47.58
"36",2024-01-02,12,28.79,37.499
"37",2024-01-02,13,32.195,40.88
"38",2024-01-02,14,27.799,37.672
"39",2024-01-02,15,21.48,28.131
"40",2024-01-02,16,19.287,42.689
"41",2024-01-02,17,24.144,46.55
"42",2024-01-02,18,33.234,58.688
"43",2024-01-02,19,42.783,69.59
"44",2024-01-02,20,41.539,73.393
"45",2024-01-02,21,39.441,72.544
"46",2024-01-02,22,38.176,70.773
"47",2024-01-02,23,37.866,69.944
"48",2024-01-02,24,40.959,59.966
"49",2024-01-03,1,63.99,55.131
"50",2024-01-03,2,46.01,49.207
"51",2024-01-03,3,42.33,44.154
"52",2024-01-03,4,36.114,40.464
"53",2024-01-03,5,32.416,34.048
"54",2024-01-03,6,32.352,31.513
"55",2024-01-03,7,31.986,31.863
"56",2024-01-03,8,36,38.241
"57",2024-01-03,9,45.021,47.107
"58",2024-01-03,10,53.398,44.961
"59",2024-01-03,11,63.317,53.653
"60",2024-01-03,12,76.684,73.194
"61",2024-01-03,13,83.177,86.108
"62",2024-01-03,14,80.084,86.676
"63",2024-01-03,15,79.937,83.492
"64",2024-01-03,16,86.129,82.727
"65",2024-01-03,17,79.403,78.686
"66",2024-01-03,18,81.355,71.981
"67",2024-01-03,19,71.169,84.876
"68",2024-01-03,20,68.018,78.968
"69",2024-01-03,21,65.659,75.445
"70",2024-01-03,22,60.238,72.557
"71",2024-01-03,23,52.744,68.221
"72",2024-01-03,24,63.489,64.09
"73",2024-01-04,1,61.033,60.191
"74",2024-01-04,2,63.961,61.699
"75",2024-01-04,3,70.11,62.54
"76",2024-01-04,4,62.062,64.749
"77",2024-01-04,5,66.767,65.474
"78",2024-01-04,6,75.024,64.358
"79",2024-01-04,7,66.056,69.357
"80",2024-01-04,8,51.716,65.521
"81",2024-01-04,9,50.045,66.643
"82",2024-01-04,10,53.814,52.011
"83",2024-01-04,11,42.39,56.257
"84",2024-01-04,12,38.332,56.187
"85",2024-01-04,13,33.074,44.616
"86",2024-01-04,14,33.182,45.709
"87",2024-01-04,15,22.682,44.383
"88",2024-01-04,16,22.319,59.964
"89",2024-01-04,17,37.338,46.825
"90",2024-01-04,18,29.027,52.529
"91",2024-01-04,19,33.082,46.78
"92",2024-01-04,20,40.66,52.417
"93",2024-01-04,21,73.431,46.834
"94",2024-01-04,22,63.966,63.018
"95",2024-01-04,23,31.226,69.186
"96",2024-01-04,24,50.61,76.286
"97",2024-01-05,1,7.073,69.669
"98",2024-01-05,2,12.877,72.349
"99",2024-01-05,3,34.294,74.021
"100",2024-01-05,4,54.04,72.854
"101",2024-01-05,5,36.63,78.849
"102",2024-01-05,6,36.78,84.249
"103",2024-01-05,7,27.391,82.205
"104",2024-01-05,8,34.689,72.697
"105",2024-01-05,9,40.115,63.513
"106",2024-01-05,10,27.927,56.822
"107",2024-01-05,11,40.753,56.518
"108",2024-01-05,12,41.539,60.95
"109",2024-01-05,13,41.117,59.8
"110",2024-01-05,14,38.985,57.8
"111",2024-01-05,15,51.695,57.7
"112",2024-01-05,16,48.074,57.85
"113",2024-01-05,17,55.314,58.4
"114",2024-01-05,18,57.28,58.95
"115",2024-01-05,19,56.428,61.758
"116",2024-01-05,20,56.995,59.52
"117",2024-01-05,21,52.722,47.084
"118",2024-01-05,22,34.923,37.697
"119",2024-01-05,23,18.706,36.386
"120",2024-01-05,24,16.789,36.689
"121",2024-01-06,1,3.732,32.198
"122",2024-01-06,2,4.293,29.85
"123",2024-01-06,3,7.778,33.2
"124",2024-01-06,4,13.584,43.165
"125",2024-01-06,5,28.963,50.089
"126",2024-01-06,6,47.122,56.505
"127",2024-01-06,7,55.555,62.982
"128",2024-01-06,8,57.774,71.246
"129",2024-01-06,9,58.11,66.462
"130",2024-01-06,10,57.961,74.85
"131",2024-01-06,11,57.381,72.35
"132",2024-01-06,12,57.098,68.85
"133",2024-01-06,13,57.014,64.3
"134",2024-01-06,14,57.014,61.3
"135",2024-01-06,15,57.021,58.8
"136",2024-01-06,16,57.036,57.35
"137",2024-01-06,17,56.966,56.9
"138",2024-01-06,18,57.027,57.55
"139",2024-01-06,19,57.352,57.9
"140",2024-01-06,20,56.988,58.05
"141",2024-01-06,21,53.613,58.45
"142",2024-01-06,22,38.317,57.431
"143",2024-01-06,23,34.853,51.19
"144",2024-01-06,24,29.998,43.541
"145",2024-01-07,1,12.914,35.019
"146",2024-01-07,2,7.591,27.57
"147",2024-01-07,3,4.518,21.859
"148",2024-01-07,4,3.95,18.698
"149",2024-01-07,5,15.604,11.97
"150",2024-01-07,6,30.966,13.242
"151",2024-01-07,7,32.527,16.252
"152",2024-01-07,8,42.541,20.299
"153",2024-01-07,9,34.083,24.875
"154",2024-01-07,10,52.083,27.312
"155",2024-01-07,11,51.205,29.544
"156",2024-01-07,12,36.651,33.047
"157",2024-01-07,13,43.427,35.294
"158",2024-01-07,14,42.963,37.335
"159",2024-01-07,15,51.128,38.4
"160",2024-01-07,16,55.026,40.212
"161",2024-01-07,17,51.828,49.155
"162",2024-01-07,18,57.653,54.349
"163",2024-01-07,19,61.338,50.567
"164",2024-01-07,20,60.149,53.126
"165",2024-01-07,21,62.576,54.038
"166",2024-01-07,22,62.158,62.35
"167",2024-01-07,23,62.524,61.75
"168",2024-01-07,24,61.73,61.35
"169",2024-01-08,1,57.149,63.05
"170",2024-01-08,2,57.062,62.9
"171",2024-01-08,3,56.787,61.65
"172",2024-01-08,4,57.476,61.1
"173",2024-01-08,5,57.446,62.2
"174",2024-01-08,6,57.44,62.2
"175",2024-01-08,7,57.48,62.35
"176",2024-01-08,8,57.524,62.35
"177",2024-01-08,9,57.593,60.6
"178",2024-01-08,10,55.543,59.95
"179",2024-01-08,11,39.531,59.553
"180",2024-01-08,12,14.327,59.503
"181",2024-01-08,13,2.441,66.007
"182",2024-01-08,14,-0.111,59.603
"183",2024-01-08,15,-0.052,37.544
"184",2024-01-08,16,-0.046,15.535
"185",2024-01-08,17,-0.104,2.15
"186",2024-01-08,18,-0.059,2.15
"187",2024-01-08,19,-0.122,1.95
"188",2024-01-08,20,-0.124,1.25
"189",2024-01-08,21,-0.154,1.2
"190",2024-01-08,22,-0.157,1.05
"191",2024-01-08,23,-0.157,0.85
"192",2024-01-08,24,-0.137,0.65
"193",2024-01-09,1,-0.439,58.6
"194",2024-01-09,2,-0.443,57.75
"195",2024-01-09,3,-0.33,56.9
"196",2024-01-09,4,-0.467,56.9
"197",2024-01-09,5,-0.477,56.9
"198",2024-01-09,6,-0.379,56.9
"199",2024-01-09,7,-0.374,56.9
"200",2024-01-09,8,-0.42,56.9
"201",2024-01-09,9,-0.456,56.9
"202",2024-01-09,10,-0.461,56.9
"203",2024-01-09,11,-0.175,-0.3
"204",2024-01-09,12,-0.119,-0.3
"205",2024-01-09,13,-0.263,-0.3
"206",2024-01-09,14,-0.358,0.05
"207",2024-01-09,15,-0.157,0.2
"208",2024-01-09,16,-0.226,0.2
"209",2024-01-09,17,-0.192,-0.125
"210",2024-01-09,18,0.242,0.025
"211",2024-01-09,19,0.363,0.025
"212",2024-01-09,20,0.615,0.025
"213",2024-01-09,21,0.508,-0.075
"214",2024-01-09,22,-0.115,-0.3
"215",2024-01-09,23,-0.511,-0.3
"216",2024-01-09,24,-0.457,-0.3
"217",2024-01-10,1,-0.432,-0.3
"218",2024-01-10,2,-0.27,-0.3
"219",2024-01-10,3,-0.097,-0.3
"220",2024-01-10,4,-0.215,-0.3
"221",2024-01-10,5,-0.138,-0.3
"222",2024-01-10,6,0.082,-0.3
"223",2024-01-10,7,-0.014,-0.3
"224",2024-01-10,8,0.013,-0.3
"225",2024-01-10,9,0.531,-0.3
"226",2024-01-10,10,0.575,0.45
"227",2024-01-10,11,-0.243,0.05
"228",2024-01-10,12,0.191,0.25
"229",2024-01-10,13,-0.191,0.2
"230",2024-01-10,14,-0.235,0.2
"231",2024-01-10,15,0.158,0.2
"232",2024-01-10,16,1.424,0.25
"233",2024-01-10,17,0.94,0.3
"234",2024-01-10,18,0.227,1.2
"235",2024-01-10,19,3.502,2.1
"236",2024-01-10,20,4.811,3.05
"237",2024-01-10,21,9.275,3.85
"238",2024-01-10,22,12.869,5.6
"239",2024-01-10,23,15.989,8.15
"240",2024-01-10,24,18.39,12.15
"241",2024-01-11,1,19.108,13.65
"242",2024-01-11,2,17.368,17.2
"243",2024-01-11,3,23.654,19.25
"244",2024-01-11,4,29.932,21.25
"245",2024-01-11,5,31.32,22.85
"246",2024-01-11,6,33.171,23.95
"247",2024-01-11,7,32.477,27.95
"248",2024-01-11,8,32.571,30.05
"249",2024-01-11,9,32.335,30.35
"250",2024-01-11,10,32.633,30.45
"251",2024-01-11,11,28.127,30.85
"252",2024-01-11,12,25.971,30.85
"253",2024-01-11,13,29.435,31.05
"254",2024-01-11,14,29.35,30.45
"255",2024-01-11,15,30.487,30.05
"256",2024-01-11,16,26.918,28.55
"257",2024-01-11,17,22.861,26.25
"258",2024-01-11,18,24.232,25.45
"259",2024-01-11,19,25.956,24.259
"260",2024-01-11,20,26.669,22.55
"261",2024-01-11,21,30.5,21.55
"262",2024-01-11,22,33.383,19.35
"263",2024-01-11,23,35.562,34.95
"264",2024-01-11,24,32.58,38.05
"265",2024-01-12,1,21.243,36.85
"266",2024-01-12,2,21.377,35.85
"267",2024-01-12,3,21.328,34.55
"268",2024-01-12,4,21.706,33.75
"269",2024-01-12,5,21.492,31.7
"270",2024-01-12,6,21.616,31.8
"271",2024-01-12,7,21.971,29.85
"272",2024-01-12,8,21.487,27.25
"273",2024-01-12,9,32.52,25.45
"274",2024-01-12,10,44.751,23.85
"275",2024-01-12,11,47.798,22.6
"276",2024-01-12,12,49.546,45.768
"277",2024-01-12,13,50.546,45.944
"278",2024-01-12,14,51.82,51.237
"279",2024-01-12,15,49.321,56.294
"280",2024-01-12,16,48.707,50.748
"281",2024-01-12,17,49.434,42.842
"282",2024-01-12,18,52.792,35.382
"283",2024-01-12,19,52.396,31.933
"284",2024-01-12,20,51.946,31.123
"285",2024-01-12,21,38.168,33.21
"286",2024-01-12,22,33.812,34.019
"287",2024-01-12,23,14.497,37.248
"288",2024-01-12,24,4.638,34.74
"289",2024-01-13,1,0.327,33.049
"290",2024-01-13,2,0.329,32.419
"291",2024-01-13,3,0.771,33.385
"292",2024-01-13,4,1.23,35.251
"293",2024-01-13,5,11.321,37.122
"294",2024-01-13,6,22.071,38.412
"295",2024-01-13,7,34.875,40.432
"296",2024-01-13,8,43.799,41.939
"297",2024-01-13,9,50.111,43.851
"298",2024-01-13,10,49.588,43.952
"299",2024-01-13,11,36.425,48.533
"300",2024-01-13,12,42.079,52.171
"301",2024-01-13,13,29.605,57.637
"302",2024-01-13,14,26.046,57.973
"303",2024-01-13,15,27.082,55.217
"304",2024-01-13,16,29.436,52.081
"305",2024-01-13,17,44.108,50.045
"306",2024-01-13,18,45.994,50.427
"307",2024-01-13,19,46.559,50.18
"308",2024-01-13,20,47.427,52.75
"309",2024-01-13,21,47.962,54.561
"310",2024-01-13,22,42.976,58.232
"311",2024-01-13,23,30.89,58.756
"312",2024-01-13,24,34.382,56.467
"313",2024-01-14,1,32.257,51.638
"314",2024-01-14,2,27.569,49.277
"315",2024-01-14,3,31.372,48.658
"316",2024-01-14,4,21.397,49.095
"317",2024-01-14,5,18.813,50.625
"318",2024-01-14,6,21.465,54.566
"319",2024-01-14,7,8.699,57.956
"320",2024-01-14,8,13.184,64.5
"321",2024-01-14,9,35.514,67.207
"322",2024-01-14,10,38.986,69.45
"323",2024-01-14,11,34.54,61.078
"324",2024-01-14,12,36.669,70.076
"325",2024-01-14,13,45.291,79.811
"326",2024-01-14,14,51.444,84.162
"327",2024-01-14,15,48.106,83.462
"328",2024-01-14,16,42.484,75.545
"329",2024-01-14,17,35.727,66.882
"330",2024-01-14,18,43.016,61.688
"331",2024-01-14,19,44.095,59.647
"332",2024-01-14,20,43.338,59.434
"333",2024-01-14,21,35.367,59.226
"334",2024-01-14,22,44.532,56.767
"335",2024-01-14,23,42.499,52.854
"336",2024-01-14,24,38.006,48.664
"337",2024-01-15,1,63.936,46.589
"338",2024-01-15,2,54.3,45.581
"339",2024-01-15,3,42.815,44.563
"340",2024-01-15,4,42.607,42.771
"341",2024-01-15,5,46.679,41.738
"342",2024-01-15,6,38.267,44.028
"343",2024-01-15,7,42.696,49.303
"344",2024-01-15,8,42.325,56.911
"345",2024-01-15,9,30.459,60.64
"346",2024-01-15,10,41.692,62.08
"347",2024-01-15,11,38.45,55.292
"348",2024-01-15,12,53.749,51.656
"349",2024-01-15,13,75.33,53.097
"350",2024-01-15,14,68.941,50.555
"351",2024-01-15,15,64.496,55.962
"352",2024-01-15,16,59.345,61.262
"353",2024-01-15,17,69.92,66.125
"354",2024-01-15,18,73.101,68.081
"355",2024-01-15,19,69.752,72.622
"356",2024-01-15,20,70.384,74.091
"357",2024-01-15,21,73.645,73.741
"358",2024-01-15,22,73.929,71.341
"359",2024-01-15,23,74.298,68.441
"360",2024-01-15,24,77.393,69.141
"361",2024-01-16,1,56.157,72.762
"362",2024-01-16,2,51.726,67.696
"363",2024-01-16,3,33.422,62.509
"364",2024-01-16,4,32.08,58.857
"365",2024-01-16,5,36.893,55.943
"366",2024-01-16,6,46.96,47.865
"367",2024-01-16,7,46.238,37.564
"368",2024-01-16,8,50.777,37.321
"369",2024-01-16,9,55.149,55.398
"370",2024-01-16,10,46.98,68.442
"371",2024-01-16,11,40.674,70.209
"372",2024-01-16,12,32.207,65.195
"373",2024-01-16,13,41.201,63.856
"374",2024-01-16,14,46.793,64.236
"375",2024-01-16,15,43.508,63.078
"376",2024-01-16,16,31.295,64.767
"377",2024-01-16,17,38.255,64.893
"378",2024-01-16,18,48.673,63.898
"379",2024-01-16,19,42.202,51.239
"380",2024-01-16,20,31.729,43.169
"381",2024-01-16,21,39.475,38.041
"382",2024-01-16,22,50.561,39.047
"383",2024-01-16,23,50.719,36.637
"384",2024-01-16,24,42.012,36.88
"385",2024-01-17,1,46.152,36.011
"386",2024-01-17,2,29.341,33.635
"387",2024-01-17,3,19.255,29.101
"388",2024-01-17,4,11.709,30.609
"389",2024-01-17,5,6.639,28.525
"390",2024-01-17,6,3.233,29.779
"391",2024-01-17,7,2.24,23.848
"392",2024-01-17,8,0.076,30.63
"393",2024-01-17,9,0.522,30.747
"394",2024-01-17,10,1.472,31.309
"395",2024-01-17,11,0.836,31.567
"396",2024-01-17,12,0.331,26.097
"397",2024-01-17,13,0.368,24.216
"398",2024-01-17,14,0.673,20.418
"399",2024-01-17,15,1.372,18.663
"400",2024-01-17,16,1.859,20.263
"401",2024-01-17,17,9.812,24.721
"402",2024-01-17,18,11.082,36.669
"403",2024-01-17,19,19.512,50.302
"404",2024-01-17,20,26.973,60.861
"405",2024-01-17,21,32.613,73.053
"406",2024-01-17,22,44.355,79.944
"407",2024-01-17,23,51.131,80.671
"408",2024-01-17,24,50.658,84.211
"409",2024-01-18,1,49.664,85.15
"410",2024-01-18,2,49.463,85.15
"411",2024-01-18,3,49.33,84.75
"412",2024-01-18,4,49.461,84.35
"413",2024-01-18,5,49.231,84.15
"414",2024-01-18,6,49.228,84.05
"415",2024-01-18,7,49.303,84
"416",2024-01-18,8,49.364,83.95
"417",2024-01-18,9,49.29,83.95
"418",2024-01-18,10,49.367,83.85
"419",2024-01-18,11,51.706,83.85
"420",2024-01-18,12,52.577,83.85
"421",2024-01-18,13,52.401,83.95
"422",2024-01-18,14,52.941,81.3
"423",2024-01-18,15,55.886,78.3
"424",2024-01-18,16,56.849,78.65
"425",2024-01-18,17,56.609,71.95
"426",2024-01-18,18,57.5,65.1
"427",2024-01-18,19,57.771,61.8
"428",2024-01-18,20,57.603,59.35
"429",2024-01-18,21,57.098,57.236
"430",2024-01-18,22,56.9,55.954
"431",2024-01-18,23,52.656,51.614
"432",2024-01-18,24,33.562,48.377
"433",2024-01-19,1,39.749,43.115
"434",2024-01-19,2,45.596,44.913
"435",2024-01-19,3,38.762,44.551
"436",2024-01-19,4,43.755,48
"437",2024-01-19,5,36.188,51.954
"438",2024-01-19,6,36.216,47.636
"439",2024-01-19,7,37.063,39.84
"440",2024-01-19,8,28.6,32.077
"441",2024-01-19,9,12.747,24.159
"442",2024-01-19,10,3.597,18.121
"443",2024-01-19,11,7.552,12.289
"444",2024-01-19,12,14.203,13.091
"445",2024-01-19,13,12.858,18.105
"446",2024-01-19,14,21.109,28.448
"447",2024-01-19,15,45.21,40.638
"448",2024-01-19,16,38.054,51.219
"449",2024-01-19,17,53.743,55.759
"450",2024-01-19,18,50.432,54.349
"451",2024-01-19,19,50.847,47.054
"452",2024-01-19,20,28.576,37.157
"453",2024-01-19,21,7.844,30.066
"454",2024-01-19,22,12.621,33.517
"455",2024-01-19,23,42.189,47.947
"456",2024-01-19,24,56.936,61.21
"457",2024-01-20,1,56.773,66.232
"458",2024-01-20,2,51.48,66.832
"459",2024-01-20,3,55.752,66.682
"460",2024-01-20,4,57.48,65.882
"461",2024-01-20,5,57.692,65.382
"462",2024-01-20,6,57.528,65.132
"463",2024-01-20,7,57.618,65.082
"464",2024-01-20,8,57.524,64.982
"465",2024-01-20,9,57.506,65.782
"466",2024-01-20,10,57.613,68.082
"467",2024-01-20,11,57.343,71.882
"468",2024-01-20,12,57.506,74.227
"469",2024-01-20,13,56.82,78.398
"470",2024-01-20,14,55.481,73.903
"471",2024-01-20,15,53.596,69.677
"472",2024-01-20,16,51.738,69.959
"473",2024-01-20,17,54.041,69.062
"474",2024-01-20,18,53.296,74.141
"475",2024-01-20,19,45.646,67.101
"476",2024-01-20,20,30.955,64.635
"477",2024-01-20,21,19.223,55.693
"478",2024-01-20,22,11.218,49.6
"479",2024-01-20,23,5.597,44.235
"480",2024-01-20,24,1.535,42.504
"481",2024-01-21,1,30.253,41.276
"482",2024-01-21,2,32.403,35.187
"483",2024-01-21,3,32.449,30.025
"484",2024-01-21,4,29.788,25.368
"485",2024-01-21,5,33.149,26.813
"486",2024-01-21,6,41.812,30.101
"487",2024-01-21,7,56.899,33.924
"488",2024-01-21,8,57.718,36.088
"489",2024-01-21,9,52.969,39.763
"490",2024-01-21,10,46.86,39.712
"491",2024-01-21,11,46.048,50.783
"492",2024-01-21,12,45.162,54.667
"493",2024-01-21,13,43.156,56.24
"494",2024-01-21,14,46.446,56.274
"495",2024-01-21,15,45.655,52.177
"496",2024-01-21,16,27.796,45.36
"497",2024-01-21,17,26.248,37.955
"498",2024-01-21,18,36.467,34.202
"499",2024-01-21,19,46.706,35.338
"500",2024-01-21,20,54.716,39.461
"501",2024-01-21,21,66.895,46.095
"502",2024-01-21,22,64.523,48.356
"503",2024-01-21,23,75.697,49.561
"504",2024-01-21,24,65.67,47.449
"505",2024-01-22,1,61.903,46.726
"506",2024-01-22,2,57.87,45.274
"507",2024-01-22,3,67.214,42.674
"508",2024-01-22,4,62.304,41.196
"509",2024-01-22,5,61.742,39.876
"510",2024-01-22,6,54.314,38.993
"511",2024-01-22,7,51.69,37.641
"512",2024-01-22,8,54.045,36.968
"513",2024-01-22,9,41.939,36.588
"514",2024-01-22,10,36.703,34.779
"515",2024-01-22,11,35.994,31.435
"516",2024-01-22,12,37.143,30.671
"517",2024-01-22,13,34.002,31.142
"518",2024-01-22,14,33.66,31.597
"519",2024-01-22,15,34.706,31.79
"520",2024-01-22,16,28.561,32.449
"521",2024-01-22,17,20.442,34.025
"522",2024-01-22,18,34.795,36.89
"523",2024-01-22,19,38.939,41.445
"524",2024-01-22,20,58.871,47.407
"525",2024-01-22,21,62.717,49.413
"526",2024-01-22,22,64.668,54.697
"527",2024-01-22,23,76.072,57.947
"528",2024-01-22,24,65.967,59.544
"529",2024-01-23,1,69.347,58.229
"530",2024-01-23,2,73.02,60.956
"531",2024-01-23,3,74.43,62.911
"532",2024-01-23,4,78.806,65.636
"533",2024-01-23,5,79.427,71.815
"534",2024-01-23,6,85.424,78.16
"535",2024-01-23,7,81.984,82.459
"536",2024-01-23,8,78.684,82.337
"537",2024-01-23,9,80.882,79.732
"538",2024-01-23,10,80.579,76.585
"539",2024-01-23,11,85.114,77.866
"540",2024-01-23,12,85.245,76.547
"541",2024-01-23,13,79.055,73.854
"542",2024-01-23,14,75.535,67.217
"543",2024-01-23,15,70.547,61.166
"544",2024-01-23,16,72.937,57.226
"545",2024-01-23,17,78.112,57.13
"546",2024-01-23,18,71.804,53.767
"547",2024-01-23,19,68.805,51.427
"548",2024-01-23,20,63.885,49.392
"549",2024-01-23,21,64.33,51.033
"550",2024-01-23,22,66.815,51.904
"551",2024-01-23,23,54.05,50.989
"552",2024-01-23,24,48.157,46.877
"553",2024-01-24,1,15.99,43.904
"554",2024-01-24,2,13.711,43.345
"555",2024-01-24,3,13.436,42.637
"556",2024-01-24,4,14.814,42.814
"557",2024-01-24,5,14.394,41.899
"558",2024-01-24,6,15.718,42.41
"559",2024-01-24,7,14.464,42.163
"560",2024-01-24,8,13.645,40.415
"561",2024-01-24,9,10.575,39.004
"562",2024-01-24,10,7.895,38.479
"563",2024-01-24,11,5.893,38.908
"564",2024-01-24,12,7.804,37.893
"565",2024-01-24,13,8.038,39.171
"566",2024-01-24,14,11.262,40.746
"567",2024-01-24,15,23.199,42.852
"568",2024-01-24,16,32.204,45.785
"569",2024-01-24,17,38.639,51.902
"570",2024-01-24,18,35.318,58.492
"571",2024-01-24,19,50.816,67.58
"572",2024-01-24,20,53.505,69.039
"573",2024-01-24,21,35.652,68.801
"574",2024-01-24,22,37.161,70.69
"575",2024-01-24,23,45.306,76.494
"576",2024-01-24,24,46.466,84.914
"577",2024-01-25,1,83.274,85.937
"578",2024-01-25,2,63.814,84.107
"579",2024-01-25,3,51.02,76.479
"580",2024-01-25,4,56.388,67.416
"581",2024-01-25,5,54.472,60.366
"582",2024-01-25,6,61.119,59.8
"583",2024-01-25,7,64.536,61.494
"584",2024-01-25,8,64.488,62.235
"585",2024-01-25,9,75.119,67.556
"586",2024-01-25,10,84.129,76.007
"587",2024-01-25,11,84.423,84.23
"588",2024-01-25,12,82.63,90.146
"589",2024-01-25,13,82.986,85.862
"590",2024-01-25,14,87.622,85.862
"591",2024-01-25,15,88.047,85.862
"592",2024-01-25,16,89.978,85.862
"593",2024-01-25,17,84.184,89.679
"594",2024-01-25,18,86.233,88.279
"595",2024-01-25,19,82.969,88.079
"596",2024-01-25,20,90.352,85.81
"597",2024-01-25,21,90.774,81.282
"598",2024-01-25,22,81.543,80.803
"599",2024-01-25,23,80.325,80.111
"600",2024-01-25,24,74.967,82.995
"601",2024-01-26,1,57.92,83.179
"602",2024-01-26,2,54.225,84.679
"603",2024-01-26,3,50.243,84.679
"604",2024-01-26,4,52.405,83.879
"605",2024-01-26,5,59.51,82.179
"606",2024-01-26,6,59.314,80.055
"607",2024-01-26,7,59.168,77.053
"608",2024-01-26,8,58.519,75.502
"609",2024-01-26,9,58.475,73.574
"610",2024-01-26,10,50.26,72.767
"611",2024-01-26,11,52.85,72.279
"612",2024-01-26,12,49.362,70.979
"613",2024-01-26,13,51.965,70.179
"614",2024-01-26,14,46.339,69.054
"615",2024-01-26,15,43.203,64.771
"616",2024-01-26,16,50.657,64.016
"617",2024-01-26,17,48.847,62.614
"618",2024-01-26,18,47.692,62.679
"619",2024-01-26,19,53.21,62.479
"620",2024-01-26,20,53.222,64.329
"621",2024-01-26,21,55.68,66.329
"622",2024-01-26,22,55.236,71.579
"623",2024-01-26,23,56.705,78.479
"624",2024-01-26,24,50.374,85.969
"625",2024-01-27,1,44.126,76.976
"626",2024-01-27,2,40.945,73.979
"627",2024-01-27,3,31.404,69.369
"628",2024-01-27,4,29.258,67.034
"629",2024-01-27,5,23.847,58.646
"630",2024-01-27,6,19.337,51.421
"631",2024-01-27,7,21.883,46.212
"632",2024-01-27,8,28.25,43.535
"633",2024-01-27,9,20.543,39.477
"634",2024-01-27,10,16.083,37.856
"635",2024-01-27,11,10.99,40.315
"636",2024-01-27,12,5.445,36.524
"637",2024-01-27,13,2.095,34.194
"638",2024-01-27,14,4.272,32.988
"639",2024-01-27,15,4.696,31.592
"640",2024-01-27,16,2.659,28.921
"641",2024-01-27,17,6.603,23.699
"642",2024-01-27,18,12.932,20.681
"643",2024-01-27,19,11.94,18.482
"644",2024-01-27,20,20.241,17.965
"645",2024-01-27,21,22.368,17.964
"646",2024-01-27,22,24.219,20.583
"647",2024-01-27,23,28.126,22.225
"648",2024-01-27,24,27.5,24.635
"649",2024-01-28,1,31.817,29.261
"650",2024-01-28,2,30.893,32.45
"651",2024-01-28,3,36.298,34.849
"652",2024-01-28,4,41.267,38.543
"653",2024-01-28,5,43.76,44.667
"654",2024-01-28,6,48.63,48.218
"655",2024-01-28,7,50.505,49.084
"656",2024-01-28,8,48.646,48.2
"657",2024-01-28,9,52.985,48.227
"658",2024-01-28,10,52.265,49.272
"659",2024-01-28,11,48.227,46.182
"660",2024-01-28,12,40.094,47.342
"661",2024-01-28,13,40.596,47.142
"662",2024-01-28,14,38.99,51.171
"663",2024-01-28,15,41.027,48.325
"664",2024-01-28,16,38.109,51.609
"665",2024-01-28,17,42.691,53.758
"666",2024-01-28,18,46.904,55.039
"667",2024-01-28,19,55.868,52.194
"668",2024-01-28,20,52.445,50.354
"669",2024-01-28,21,52.937,48.597
"670",2024-01-28,22,55.735,45.998
"671",2024-01-28,23,52.429,40.997
"672",2024-01-28,24,51.655,38.993
"673",2024-01-29,1,44.976,40.535
"674",2024-01-29,2,44.572,43.411
"675",2024-01-29,3,46.621,47.127
"676",2024-01-29,4,52.526,50.71
"677",2024-01-29,5,39.677,53.521
"678",2024-01-29,6,43.614,54.085
"679",2024-01-29,7,46.014,53.147
"680",2024-01-29,8,44.889,51.47
"681",2024-01-29,9,44.379,50.408
"682",2024-01-29,10,39.178,52.428
"683",2024-01-29,11,42.212,47.437
"684",2024-01-29,12,41.424,47.281
"685",2024-01-29,13,51.197,44.681
"686",2024-01-29,14,47.271,41.358
"687",2024-01-29,15,37.542,38.401
"688",2024-01-29,16,38.156,33.642
"689",2024-01-29,17,50.117,33.216
"690",2024-01-29,18,57.095,31.176
"691",2024-01-29,19,60.754,34.858
"692",2024-01-29,20,62.198,37.378
"693",2024-01-29,21,66.026,37.197
