country,hour,volume
PL,2022-01-01T00:00:00Z,14438.25
PL,2022-01-01T01:00:00Z,13934.85
PL,2022-01-01T02:00:00Z,13579.01
PL,2022-01-01T03:00:00Z,13396.76
PL,2022-01-01T04:00:00Z,13364.28
PL,2022-01-01T05:00:00Z,13449.13
PL,2022-01-01T06:00:00Z,13444.28
PL,2022-01-01T07:00:00Z,13527.46
PL,2022-01-01T08:00:00Z,14202.3
PL,2022-01-01T09:00:00Z,14851.48
PL,2022-01-01T10:00:00Z,15642.66
PL,2022-01-01T11:00:00Z,16235.19
PL,2022-01-01T12:00:00Z,16711.69
PL,2022-01-01T13:00:00Z,16873.76
PL,2022-01-01T14:00:00Z,17032.34
PL,2022-01-01T15:00:00Z,17715.21
PL,2022-01-01T16:00:00Z,17886.91
PL,2022-01-01T17:00:00Z,17929.08
PL,2022-01-01T18:00:00Z,17898.4
PL,2022-01-01T19:00:00Z,17593.86
PL,2022-01-01T20:00:00Z,16971.96
PL,2022-01-01T21:00:00Z,16426.2
PL,2022-01-01T22:00:00Z,15410.88
PL,2022-01-01T23:00:00Z,14479.51
PL,2022-01-02T00:00:00Z,13833.25
PL,2022-01-02T01:00:00Z,13451.21
PL,2022-01-02T02:00:00Z,13267.48
PL,2022-01-02T03:00:00Z,13325.89
PL,2022-01-02T04:00:00Z,13713.75
PL,2022-01-02T05:00:00Z,14229.83
PL,2022-01-02T06:00:00Z,14542.48
PL,2022-01-02T07:00:00Z,14959.55
PL,2022-01-02T08:00:00Z,15855.05
PL,2022-01-02T09:00:00Z,16708.59
PL,2022-01-02T10:00:00Z,17032.09
PL,2022-01-02T11:00:00Z,17414.24
PL,2022-01-02T12:00:00Z,18006.33
PL,2022-01-02T13:00:00Z,17914.13
PL,2022-01-02T14:00:00Z,18023.98
PL,2022-01-02T15:00:00Z,18626.89
PL,2022-01-02T16:00:00Z,18737.35
PL,2022-01-02T17:00:00Z,18752.55
PL,2022-01-02T18:00:00Z,18773.65
PL,2022-01-02T19:00:00Z,18377.64
PL,2022-01-02T20:00:00Z,17527.2
PL,2022-01-02T21:00:00Z,16897.31
PL,2022-01-02T22:00:00Z,15711.23
PL,2022-01-02T23:00:00Z,14917.71
PL,2022-01-03T00:00:00Z,14445.8
PL,2022-01-03T01:00:00Z,14222.64
PL,2022-01-03T02:00:00Z,14320.25
PL,2022-01-03T03:00:00Z,14814.36
PL,2022-01-03T04:00:00Z,15727.13
PL,2022-01-03T05:00:00Z,18749.4
PL,2022-01-03T06:00:00Z,20920.8
PL,2022-01-03T07:00:00Z,22134.99
PL,2022-01-03T08:00:00Z,22928.88
PL,2022-01-03T09:00:00Z,22934.63
PL,2022-01-03T10:00:00Z,23365.99
PL,2022-01-03T11:00:00Z,23608.29
PL,2022-01-03T12:00:00Z,23666.36
PL,2022-01-03T13:00:00Z,23373.79
PL,2022-01-03T14:00:00Z,23416.66
PL,2022-01-03T15:00:00Z,23971.48
PL,2022-01-03T16:00:00Z,23882.45
PL,2022-01-03T17:00:00Z,23557.64
PL,2022-01-03T18:00:00Z,23339.83
PL,2022-01-03T19:00:00Z,22852.41
PL,2022-01-03T20:00:00Z,21305.9
PL,2022-01-03T21:00:00Z,19825.14
PL,2022-01-03T22:00:00Z,18509.19
PL,2022-01-03T23:00:00Z,17594
PL,2022-01-04T00:00:00Z,16879.76
PL,2022-01-04T01:00:00Z,16612.08
PL,2022-01-04T02:00:00Z,16602.89
PL,2022-01-04T03:00:00Z,16936.01
PL,2022-01-04T04:00:00Z,17762.78
PL,2022-01-04T05:00:00Z,20157.96
PL,2022-01-04T06:00:00Z,22050.56
PL,2022-01-04T07:00:00Z,23022.83
PL,2022-01-04T08:00:00Z,23453.55
PL,2022-01-04T09:00:00Z,23659.55
