date,product,supply_conditions,volume_tcm,price_uah_excl_vat,price_uah_incl_vat
2020-10-09,WD,ГТС,1,4333.33,5200
2020-10-23,WD,ГТС,20,5325.83,6391
2020-10-24,WD,ГТС,20,5337.08,6404.5
2020-10-26,WD,ГТС,70,5376.78,6452.14
2020-10-29,WD,ГТС,2,5200,6240
2020-10-30,WD,ГТС,4,4970.63,5964.75
2020-11-01,WD,ГТС,52,5266.84,6320.21
2020-11-02,WD,ГТС,134,5077.3,6092.76
2020-11-03,WD,ГТС,75,5198.89,6238.67
2020-11-04,WD,ГТС,50,5166.67,6200
2020-11-05,WD,ГТС,40,5189.58,6227.5
2020-11-07,WD,ГТС,50,5125,6150
2020-11-11,WD,ГТС,5,5000,6000
2020-11-13,WD,ГТС,7,5033.33,6040
2020-11-16,WD,ГТС,35,5033.62,6040.34
2020-11-17,WD,ГТС,122,5016.29,6019.55
2020-11-18,WD,ГТС,30,4988,5985.6
2020-11-19,WD,ГТС,17,4916.67,5900
2020-11-20,WD,ГТС,10,4810,5772
2020-11-21,WD,ГТС,15,4833.33,5800
2020-11-22,WD,ГТС,17,4875,5850
2020-11-23,WD,ГТС,54,4737.47,5684.96
2020-11-24,WD,ГТС,50,4756.67,5708
2020-11-25,WD,ГТС,188,4770.3,5724.36
2020-11-26,WD,ГТС,160,4791.67,5750
2020-11-27,WD,ГТС,100,4758.38,5710.06
2020-11-28,WD,ГТС,13,4916.67,5900
2020-11-29,WD,ГТС,28,4893.6,5872.32
2020-11-30,WD,ГТС,24,4800.35,5760.42
2020-12-03,WD,ГТС,1,5000,6000
2020-12-10,WD,ГТС,35,5080.95,6097.14
2020-12-11,WD,ГТС,47,5154.17,6185
2020-12-12,WD,ГТС,30,5125,6150
2020-12-14,WD,ГТС,52,5261.54,6313.85
2020-12-16,WD,ГТС,60,5833.06,6999.67
2020-12-18,WD,ГТС,164,5805.85,6967.02
2020-12-21,WD,ГТС,110,5729.43,6875.32
2020-12-22,WD,ГТС,30,6044.44,7253.33
2020-12-23,WD,ГТС,25,6040,7248
2020-12-24,WD,ГТС,45,6041.67,7250
2020-12-25,WD,ГТС,1700,6250,7500
2020-12-26,WD,ГТС,300,6250,7500
2020-12-27,WD,ГТС,138,6250,7500
2020-12-28,WD,ГТС,330,6540,7848
2020-12-29,WD,ГТС,641,6550.8,7860.96
2020-12-30,WD,ГТС,33,6969.7,8363.64
2020-12-31,WD,ГТС,50,6500,7800
2021-01-04,WD,ГТС,17,6679.41,8015.29
2021-01-05,WD,ГТС,50,6833.33,8200
2021-01-08,WD,ГТС,50,6916.67,8300
2021-01-11,WD,ГТС,10,6935.83,8323
2021-01-12,WD,ГТС,37,7452.7,8943.24
2021-01-13,WD,ГТС,45,7310,8772
2021-01-16,WD,ГТС,50,6750,8100
2021-01-18,WD,ГТС,40,6501.04,7801.25
2021-01-19,WD,ГТС,40,6539.58,7847.5
2021-01-28,WD,ГТС,2,6666.67,8000
2021-02-01,WD,ГТС,20,6650,7980
2021-02-02,WD,ГТС,50,6516.67,7820
2021-02-04,WD,ГТС,100,6417.5,7701
2021-02-05,WD,ГТС,126,6410,7692
2021-02-06,WD,ГТС,10,6400,7680
2021-02-08,WD,ГТС,131,6405.73,7686.87
2021-02-09,WD,ГТС,12,6625,7950
2021-02-10,WD,ГТС,12,6641.67,7970
2021-02-11,WD,ГТС,2,6650,7980
2021-02-12,WD,ГТС,2,6583.33,7900
2021-02-15,WD,ГТС,2,6415,7698
2021-02-16,WD,ГТС,2,6340,7608
2021-02-17,WD,ГТС,27,6334.2,7601.04
2021-02-18,WD,ГТС,27,6229.01,7474.81
2021-02-19,WD,ГТС,154,6125,7350
2021-02-20,WD,ГТС,165,6137.35,7364.82
2021-02-22,WD,ГТС,352,6060,7272
2021-02-23,WD,ГТС,109,6038.53,7246.24
2021-02-24,WD,ГТС,3,6025,7230
2021-02-25,WD,ГТС,11,6000,7200
2021-02-26,WD,ГТС,191,5911.43,7093.72
2021-02-27,WD,ГТС,100,5958.33,7150
2021-02-28,WD,ГТС,51,5920.83,7105
2021-03-01,WD,ГТС,44,5957.38,7148.86
2021-03-02,WD,ГТС,33,5954.8,7145.76
2021-03-03,WD,ГТС,234,5927.35,7112.82
2021-03-04,WD,ГТС,33,5930.81,7116.97
2021-03-08,WD,ГТС,502,6186.88,7424.26
2021-03-11,WD,ГТС,150,6090,7308
2021-03-15,WD,ГТС,243,6448.38,7738.05
2021-03-16,WD,ГТС,12,6233.33,7480
2021-03-17,WD,ГТС,124,6225.24,7470.29
2021-03-18,WD,ГТС,162,6289.46,7547.35
2021-03-19,WD,ГТС,169,6288.03,7545.64
2021-03-20,WD,ГТС,38,6262.5,7515
2021-03-21,WD,ГТС,10,6250,7500
2021-03-22,WD,ГТС,71,6166.67,7400
2021-03-23,WD,ГТС,19,6208.86,7450.63
2021-03-24,WD,ГТС,37,6199.17,7439
2021-03-25,WD,ГТС,24,6345,7614
2021-03-26,WD,ГТС,286,6341.82,7610.18
2021-03-27,WD,ГТС,65,6395,7674
2021-03-29,WD,ГТС,349,6356.95,7628.34
2021-03-30,WD,ГТС,146,6392.53,7671.04
2021-03-31,WD,ГТС,28,6512.5,7815
2021-04-01,WD,ГТС,163,6807.57,8169.08
2021-04-03,WD,ГТС,40,6737.5,8085
2021-04-05,WD,ГТС,50,6760,8112
2021-04-09,WD,ГТС,5,7225,8670
2021-04-14,WD,ПСГ,10,7100,8520
2021-04-16,WD,ГТС,20,7273.75,8728.5
2021-04-22,WD,ГТС,20,7666.67,9200
2021-04-24,WD,ГТС,3,7625,9150
2021-04-26,WD,ГТС,38,7628.33,9154
2021-04-28,WD,ГТС,10,7708.33,9250
2021-04-29,WD,ГТС,110,7668.18,9201.82
2021-04-29,WD,ПСГ,50,7583.33,9100
2021-04-30,WD,ГТС,60,7775,9330
2021-04-30,WD,ПСГ,200,7710.21,9252.25
2021-05-03,WD,ПСГ,100,7708.33,9250
2021-05-04,WD,ПСГ,200,7750,9300
2021-05-05,WD,ПСГ,250,7750,9300
2021-05-06,WD,ПСГ,603,8003.88,9604.65
2021-05-08,WD,ПСГ,50,8291.67,9950
2021-05-08,WD,ГТС,20,8166.67,9800
2021-05-09,WD,ГТС,10,8291.67,9950
2021-05-10,WD,ПСГ,50,8250,9900
2021-05-10,WD,ГТС,22,8287.88,9945.45
2021-05-11,WD,ПСГ,155,8338.33,10006
2021-05-11,WD,ГТС,36,8383.03,10059.64
2021-05-12,WD,ГТС,3,9105.56,10926.67
2021-05-13,WD,ГТС,2,9250,11100
2021-05-17,WD,ГТС,10,9166.67,11000
2021-05-23,WD,ПСГ,30,8875,10650
2021-05-26,WD,ПСГ,135,9131.67,10958
2021-05-26,WD,ГТС,20,9050,10860
2021-05-27,WD,ГТС,10,9050,10860
2021-05-30,WD,ГТС,20,9000,10800
2021-05-31,WD,ГТС,92,9004.53,10805.43
2021-06-01,WD,ГТС,87,9189.66,11027.59
2021-06-02,WD,ГТС,1,9325,11190
2021-06-03,WD,ГТС,25,9324.67,11189.6
2021-06-08,WD,ГТС,85,9384.97,11261.96
2021-06-09,WD,ГТС,22,9409.09,11290.91
2021-06-10,WD,ГТС,7,9691.67,11630
2021-06-11,WD,ПСГ,2,9583.33,11500
2021-06-11,WD,ГТС,25,9583.33,11500
