country,hour,tech,gen_mw
HU,2022-01-01T00:00:00Z,Solar,0
HU,2022-01-01T00:00:00Z,Wind onshore,166.8525
HU,2022-01-01T01:00:00Z,Solar,0
HU,2022-01-01T01:00:00Z,Wind onshore,215.41
HU,2022-01-01T02:00:00Z,Solar,0
HU,2022-01-01T02:00:00Z,Wind onshore,240.0075
HU,2022-01-01T03:00:00Z,Solar,0
HU,2022-01-01T03:00:00Z,Wind onshore,192.3525
HU,2022-01-01T04:00:00Z,Solar,0
HU,2022-01-01T04:00:00Z,Wind onshore,162.1525
HU,2022-01-01T05:00:00Z,Solar,0
HU,2022-01-01T05:00:00Z,Wind onshore,197.6525
HU,2022-01-01T06:00:00Z,Solar,11.04
HU,2022-01-01T06:00:00Z,Wind onshore,221.6825
HU,2022-01-01T07:00:00Z,Solar,184.44
HU,2022-01-01T07:00:00Z,Wind onshore,203.2525
HU,2022-01-01T08:00:00Z,Solar,490.7775
HU,2022-01-01T08:00:00Z,Wind onshore,173.9875
HU,2022-01-01T09:00:00Z,Solar,702.915
HU,2022-01-01T09:00:00Z,Wind onshore,175.8875
HU,2022-01-01T10:00:00Z,Solar,761.45
HU,2022-01-01T10:00:00Z,Wind onshore,169.98
HU,2022-01-01T11:00:00Z,Solar,638.355
HU,2022-01-01T11:00:00Z,Wind onshore,201.5975
HU,2022-01-01T12:00:00Z,Solar,432.6725
HU,2022-01-01T12:00:00Z,Wind onshore,221.95
HU,2022-01-01T13:00:00Z,Solar,235.4525
HU,2022-01-01T13:00:00Z,Wind onshore,194.2325
HU,2022-01-01T14:00:00Z,Solar,56.7325
HU,2022-01-01T14:00:00Z,Wind onshore,188.22
HU,2022-01-01T15:00:00Z,Solar,0.9475
HU,2022-01-01T15:00:00Z,Wind onshore,195.825
HU,2022-01-01T16:00:00Z,Solar,0
HU,2022-01-01T16:00:00Z,Wind onshore,198.1775
HU,2022-01-01T17:00:00Z,Solar,0
HU,2022-01-01T17:00:00Z,Wind onshore,174.48
HU,2022-01-01T18:00:00Z,Solar,0
HU,2022-01-01T18:00:00Z,Wind onshore,136.85500000000002
HU,2022-01-01T19:00:00Z,Solar,0
HU,2022-01-01T19:00:00Z,Wind onshore,132.7075
HU,2022-01-01T20:00:00Z,Solar,0
HU,2022-01-01T20:00:00Z,Wind onshore,124.1075
HU,2022-01-01T21:00:00Z,Solar,0
HU,2022-01-01T21:00:00Z,Wind onshore,99.99
HU,2022-01-01T22:00:00Z,Solar,0
HU,2022-01-01T22:00:00Z,Wind onshore,93.5175
HU,2022-01-01T23:00:00Z,Solar,0
HU,2022-01-01T23:00:00Z,Wind onshore,85.185
HU,2022-01-02T00:00:00Z,Solar,0
HU,2022-01-02T00:00:00Z,Wind onshore,74.2025
HU,2022-01-02T01:00:00Z,Solar,0
HU,2022-01-02T01:00:00Z,Wind onshore,39.66
HU,2022-01-02T02:00:00Z,Solar,0
HU,2022-01-02T02:00:00Z,Wind onshore,8.467500000000001
HU,2022-01-02T03:00:00Z,Solar,0
HU,2022-01-02T03:00:00Z,Wind onshore,12.135
HU,2022-01-02T04:00:00Z,Solar,0
HU,2022-01-02T04:00:00Z,Wind onshore,46.815000000000005
HU,2022-01-02T05:00:00Z,Solar,0
HU,2022-01-02T05:00:00Z,Wind onshore,85.0875
HU,2022-01-02T06:00:00Z,Solar,11.5425
HU,2022-01-02T06:00:00Z,Wind onshore,91.5425
HU,2022-01-02T07:00:00Z,Solar,164.58249999999998
HU,2022-01-02T07:00:00Z,Wind onshore,88.74
HU,2022-01-02T08:00:00Z,Solar,460.755
HU,2022-01-02T08:00:00Z,Wind onshore,84.6075
HU,2022-01-02T09:00:00Z,Solar,704.0475
HU,2022-01-02T09:00:00Z,Wind onshore,80.745
HU,2022-01-02T10:00:00Z,Solar,779.99
HU,2022-01-02T10:00:00Z,Wind onshore,53.3375
HU,2022-01-02T11:00:00Z,Solar,734.8225
HU,2022-01-02T11:00:00Z,Wind onshore,45.4875
HU,2022-01-02T12:00:00Z,Solar,548.1625
HU,2022-01-02T12:00:00Z,Wind onshore,34.03
